Municipality,Type,County,State,Address - Combined,latitude,longitude
Littleton,Town,Middlesex,MA,"Littleton, MA, USA",42.537289,-71.512802
Longmeadow,Town,Hampden,MA,"Longmeadow, MA, USA",42.050102,-72.582864
Lowell,City,Middlesex,MA,"Lowell, MA, USA",42.633425,-71.316172
Ludlow,Town,Hampden,MA,"Ludlow, MA, USA",42.160094,-72.475919
Lunenburg,Town,Worcester,MA,"Lunenburg, MA, USA",42.594527,-71.724503
Lynn,City,Essex,MA,"Lynn, MA, USA",42.466763,-70.949494
Lynnfield,Town,Essex,MA,"Lynnfield, MA, USA",42.53869,-71.046564
Malden,City,Middlesex,MA,"Malden, MA, USA",42.425096,-71.066163
Manchester-by-the-Sea,Town,Essex,MA,"Manchester-by-the-Sea, MA, USA",42.577834,-70.767597
Mansfield,Town,Bristol,MA,"Mansfield, MA, USA",42.033457,-71.219058
Marblehead,Town,Essex,MA,"Marblehead, MA, USA",42.499958,-70.857802
Marion,Town,Plymouth,MA,"Marion, MA, USA",41.697719,-70.75253
Marlborough,City,Middlesex,MA,"Marlborough, MA, USA",42.345927,-71.552287
Marshfield,Town,Plymouth,MA,"Marshfield, MA, USA",42.091745,-70.705587
Mashpee,Town,Barnstable,MA,"Mashpee, MA, USA",41.647872,-70.481967
Mattapoisett,Town,Plymouth,MA,"Mattapoisett, MA, USA",41.661632,-70.815074
Maynard,Town,Middlesex,MA,"Maynard, MA, USA",42.43349,-71.449506
Medfield,Town,Norfolk,MA,"Medfield, MA, USA",42.187583,-71.30646
Medford,City,Middlesex,MA,"Medford, MA, USA",42.41843,-71.106164
Medway,Town,Norfolk,MA,"Medway, MA, USA",42.141764,-71.396726
Melrose,City,Middlesex,MA,"Melrose, MA, USA",42.458429,-71.066163
Mendon,Town,Worcester,MA,"Mendon, MA, USA",42.105653,-71.552286
Merrimac,Town,Essex,MA,"Merrimac, MA, USA",42.834058,-71.000551
Methuen,City,Essex,MA,"Methuen, MA, USA",42.726202,-71.190892
Middleborough,Town,Plymouth,MA,"Middleborough, MA, USA",41.892994,-70.910771
Middlefield,Town,Hampshire,MA,"Middlefield, MA, USA",42.348421,-73.015101
Middleton,Town,Essex,MA,"Middleton, MA, USA",42.595094,-71.016164
Milford,Town,Worcester,MA,"Milford, MA, USA",42.139858,-71.516305
Millbury,Town,Worcester,MA,"Millbury, MA, USA",42.192072,-71.761522
Millis,Town,Norfolk,MA,"Millis, MA, USA",42.166966,-71.351738
Millville,Town,Worcester,MA,"Millville, MA, USA",42.027876,-71.580897
Milton,Town,Norfolk,MA,"Milton, MA, USA",42.249532,-71.066165
Monroe,Town,Franklin,MA,"Monroe, MA, USA",42.714393,-73.005106
Monson,Town,Hampden,MA,"Monson, MA, USA",42.104245,-72.318952
Montague,Town,Franklin,MA,"Montague, MA, USA",42.535528,-72.535344
Monterey,Town,Berkshire,MA,"Monterey, MA, USA",42.179256,-73.212053
Montgomery,Town,Hampden,MA,"Montgomery, MA, USA",42.206757,-72.805095
Mount Washington,Town,Berkshire,MA,"Mt Washington, MA, USA",42.085025,-73.451685
Nahant,Town,Essex,MA,"Nahant, MA, USA",42.426516,-70.91887
Nantucket,Town,Nantucket,MA,"Nantucket, MA, USA",41.28347,-70.099451
Natick,Town,Middlesex,MA,"Natick, MA, USA",42.277528,-71.346809
Needham,Town,Norfolk,MA,"Needham, MA, USA",42.280929,-71.237755
New Ashford,Town,Berkshire,MA,"New Ashford, MA, USA",42.605082,-73.23955
New Bedford,City,Bristol,MA,"New Bedford, MA, USA",41.636215,-70.934205
New Braintree,Town,Worcester,MA,"New Braintree, MA, USA",42.316758,-72.125911
New Marlborough,Town,Berkshire,MA,"New Marlborough, MA, USA",42.111183,-73.252946
New Salem,Town,Franklin,MA,"New Salem, MA, USA",42.504255,-72.332029
Newbury,Town,Essex,MA,"Newbury, MA, USA",42.76495,-70.871453
Newburyport,City,Essex,MA,"Newburyport, MA, USA",42.812591,-70.877275
Newton,City,Middlesex,MA,"Newton, MA, USA",42.337041,-71.209221
Norfolk,Town,Norfolk,MA,"Norfolk, MA, USA",42.119543,-71.325056
North Adams,City,Berkshire,MA,"North Adams, MA, USA",42.700915,-73.108715
North Andover,Town,Essex,MA,"North Andover, MA, USA",42.698702,-71.135058
North Attleborough,Town,Bristol,MA,"North Attleborough, MA, USA",41.969552,-71.356544
North Brookfield,Town,Worcester,MA,"North Brookfield, MA, USA",42.268557,-72.08504
North Reading,Town,Middlesex,MA,"North Reading, MA, USA",42.575094,-71.078665
Northampton,City,Hampshire,MA,"Northampton, MA, USA",42.32509,-72.641201
Northborough,Town,Worcester,MA,"Northborough, MA, USA",42.319556,-71.6412
Northbridge,Town,Worcester,MA,"Northbridge, MA, USA",42.151632,-71.649441
Northfield,Town,Franklin,MA,"Northfield, MA, USA",42.695909,-72.452888
Norton,Town,Bristol,MA,"Norton, MA, USA",41.96677,-71.186996
Norwell,Town,Plymouth,MA,"Norwell, MA, USA",42.161516,-70.792783
Norwood,Town,Norfolk,MA,"Norwood, MA, USA",42.194391,-71.198969
Oak Bluffs,Town,Dukes,MA,"Oak Bluffs, MA, USA",41.454279,-70.561972
Oakham,Town,Worcester,MA,"Oakham, MA, USA",42.352711,-72.044978
Orange,Town,Franklin,MA,"Orange, MA, USA",42.590354,-72.309791
Orleans,Town,Barnstable,MA,"Orleans, MA, USA",41.789835,-69.989732
Otis,Town,Berkshire,MA,"Otis, MA, USA",42.193022,-73.091969
Oxford,Town,Worcester,MA,"Oxford, MA, USA",42.116761,-71.864758
Palmer,City,Hampden,MA,"Palmer, MA, USA",42.15841,-72.328687
Paxton,Town,Worcester,MA,"Paxton, MA, USA",42.311489,-71.927843
Peabody,City,Essex,MA,"Peabody, MA, USA",42.527873,-70.928661
Pelham,Town,Hampshire,MA,"Pelham, MA, USA",42.393146,-72.403696
Pembroke,Town,Plymouth,MA,"Pembroke, MA, USA",42.071493,-70.8092
Pepperell,Town,Middlesex,MA,"Pepperell, MA, USA",42.665923,-71.588436
Peru,Town,Berkshire,MA,"Peru, MA, USA",42.438142,-73.045934
Petersham,Town,Worcester,MA,"Petersham, MA, USA",42.483775,-72.186669
Phillipston,Town,Worcester,MA,"Phillipston, MA, USA",42.548699,-72.132858
Pittsfield,City,Berkshire,MA,"Pittsfield, MA, USA",42.450085,-73.245382
Plainfield,Town,Hampshire,MA,"Plainfield, MA, USA",42.515363,-72.916207
Plainville,Town,Norfolk,MA,"Plainville, MA, USA",42.004266,-71.332833
Plymouth,Town,Plymouth,MA,"Plymouth, MA, USA",41.958446,-70.667262
Plympton,Town,Plymouth,MA,"Plympton, MA, USA",41.955895,-70.814843
Princeton,Town,Worcester,MA,"Princeton, MA, USA",42.448702,-71.877296
Provincetown,Town,Barnstable,MA,"Provincetown, MA, USA",42.058441,-70.178643
Quincy,City,Norfolk,MA,"Quincy, MA, USA",42.252877,-71.002271
Randolph,City,Norfolk,MA,"Randolph, MA, USA",42.161974,-71.042551
Raynham,Town,Bristol,MA,"Raynham, MA, USA",41.948708,-71.073116
Reading,Town,Middlesex,MA,"Reading, MA, USA",42.525656,-71.095289
Rehoboth,Town,Bristol,MA,"Rehoboth, MA, USA",41.847006,-71.239393
Revere,City,Suffolk,MA,"Revere, MA, USA",42.40843,-71.011995
Richmond,Town,Berkshire,MA,"Richmond, MA, USA",42.372952,-73.36768
Rochester,Town,Plymouth,MA,"Rochester, MA, USA",41.754966,-70.845268
Rockland,Town,Plymouth,MA,"Rockland, MA, USA",42.130656,-70.916155
Rockport,Town,Essex,MA,"Rockport, MA, USA",42.655651,-70.620363
Rowe,Town,Franklin,MA,"Rowe, MA, USA",42.693417,-72.899542
Rowley,Town,Essex,MA,"Rowley, MA, USA",42.716748,-70.878728
Royalston,Town,Worcester,MA,"Royalston, MA, USA",42.677586,-72.18786
Russell,Town,Hampden,MA,"Russell, MA, USA",42.189861,-72.859126
Rutland,Town,Worcester,MA,"Rutland, MA, USA",42.369509,-71.948121
Salem,City,Essex,MA,"Salem, MA, USA",42.51954,-70.896716
